Date;Region/City;Region/City-Eng;Region_ID;Day-Confirmed;Day-Deaths;Day-Recovered;Confirmed;Deaths;Recovered
26.01.2020;Diamond Princess;Diamond Princess;;3.00;0.00;0.00;3.00;0.00;0.00
31.01.2020;Тюменская область;Tyumen region;72.00;1.00;0.00;0.00;1.00;0.00;0.00
31.01.2020;Забайкальский край;Zabaykalsky Krai;75.00;1.00;0.00;0.00;1.00;0.00;0.00
12.02.2020;Тюменская область;Tyumen region;72.00;0.00;0.00;1.00;1.00;0.00;1.00
12.02.2020;Забайкальский край;Zabaykalsky Krai;75.00;0.00;0.00;1.00;1.00;0.00;1.00
03.02.2020;Московская область;Moscow region;50.00;1.00;0.00;0.00;1.00;0.00;0.00
05.03.2020;Санкт-Петербург;St. Petersburg;78.00;1.00;0.00;0.00;1.00;0.00;0.00
06.03.2020;Москва;Moscow;77.00;5.00;0.00;0.00;5.00;0.00;0.00
06.03.2020;Нижегородская область;Nizhny Novgorod Region;52.00;1.00;0.00;0.00;1.00;0.00;0.00
06.03.2020;Diamond Princess;Diamond Princess;;0.00;0.00;3.00;3.00;0.00;3.00
07.03.2020;Москва;Moscow;77.00;0.00;0.00;1.00;5.00;0.00;1.00
07.03.2020;Санкт-Петербург;St. Petersburg;78.00;1.00;0.00;0.00;2.00;0.00;0.00
07.03.2020;Липецкая область;Lipetsk region;48.00;3.00;0.00;0.00;3.00;0.00;0.00
08.03.2020;Московская область;Moscow region;50.00;1.00;0.00;0.00;2.00;0.00;0.00
08.03.2020;Белгородская область;Belgorod region;31.00;1.00;0.00;0.00;1.00;0.00;0.00
08.03.2020;Калининградская область;Kaliningrad region;39.00;1.00;0.00;0.00;1.00;0.00;0.00
09.03.2020;Москва;Moscow;77.00;3.00;0.00;0.00;8.00;0.00;1.00
11.03.2020;Москва;Moscow;77.00;6.00;0.00;0.00;14.00;0.00;1.00
11.03.2020;Московская область;Moscow region;50.00;2.00;0.00;0.00;4.00;0.00;0.00
12.03.2020;Москва;Moscow;77.00;4.00;0.00;0.00;18.00;0.00;1.00
12.03.2020;Калининградская область;Kaliningrad region;39.00;1.00;0.00;0.00;2.00;0.00;0.00
12.03.2020;Краснодарский край;Krasnodar region;23.00;1.00;0.00;0.00;1.00;0.00;0.00
13.03.2020;Москва;Moscow;77.00;5.00;0.00;0.00;23.00;0.00;1.00
13.03.2020;Московская область;Moscow region;50.00;1.00;0.00;0.00;5.00;0.00;0.00
13.03.2020;Санкт-Петербург;St. Petersburg;78.00;3.00;0.00;0.00;5.00;0.00;0.00
13.03.2020;Ленинградская область;Leningrad region;47.00;1.00;0.00;0.00;1.00;0.00;0.00
13.03.2020;Пермский край;Perm;59.00;1.00;0.00;0.00;1.00;0.00;0.00
14.03.2020;Москва;Moscow;77.00;9.00;0.00;0.00;32.00;0.00;1.00
14.03.2020;Московская область;Moscow region;50.00;1.00;0.00;0.00;6.00;0.00;0.00
14.03.2020;Санкт-Петербург;St. Petersburg;78.00;1.00;0.00;0.00;6.00;0.00;0.00
14.03.2020;Кемеровская область;Kemerovo region;42.00;2.00;0.00;0.00;2.00;0.00;0.00
14.03.2020;Калининградская область;Kaliningrad region;39.00;1.00;0.00;0.00;3.00;0.00;0.00
15.03.2020;Московская область;Moscow region;50.00;3.00;0.00;0.00;9.00;0.00;0.00
15.03.2020;Тюменская область;Tyumen region;72.00;1.00;0.00;0.00;2.00;0.00;1.00
16.03.2020;Москва;Moscow;77.00;20.00;0.00;0.00;52.00;0.00;1.00
16.03.2020;Санкт-Петербург;St. Petersburg;78.00;3.00;0.00;2.00;9.00;0.00;2.00
16.03.2020;Московская область;Moscow region;50.00;1.00;0.00;0.00;10.00;0.00;0.00
16.03.2020;Самарская область;Samara Region;63.00;3.00;0.00;0.00;3.00;0.00;0.00
16.03.2020;Кировская область;Kirov region;43.00;1.00;0.00;0.00;1.00;0.00;0.00
16.03.2020;Пермский край;Perm;59.00;1.00;0.00;0.00;2.00;0.00;0.00
16.03.2020;Республика Коми;Komi Republic;11.00;1.00;0.00;0.00;1.00;0.00;0.00
