Country;City;Date;SI_index
Азербайджан;Баку;01.03.2020;3.00
Азербайджан;Баку;01.04.2020;3.70
Азербайджан;Баку;02.03.2020;2.00
Азербайджан;Баку;02.04.2020;3.80
Азербайджан;Баку;03.03.2020;2.10
Азербайджан;Баку;03.04.2020;3.80
Азербайджан;Баку;04.03.2020;2.00
Азербайджан;Баку;04.04.2020;3.90
Азербайджан;Баку;05.03.2020;2.10
Азербайджан;Баку;05.04.2020;4.60
Азербайджан;Баку;06.03.2020;1.90
Азербайджан;Баку;06.04.2020;4.10
Азербайджан;Баку;07.03.2020;2.30
Азербайджан;Баку;07.04.2020;4.10
Азербайджан;Баку;08.03.2020;2.80
Азербайджан;Баку;08.04.2020;4.00
Азербайджан;Баку;09.03.2020;2.60
Азербайджан;Баку;09.04.2020;4.00
Азербайджан;Баку;10.03.2020;2.00
Азербайджан;Баку;10.04.2020;3.90
Азербайджан;Баку;11.03.2020;2.00
Азербайджан;Баку;11.04.2020;4.00
Азербайджан;Баку;12.03.2020;2.00
Азербайджан;Баку;12.04.2020;4.30
Азербайджан;Баку;13.03.2020;2.00
Азербайджан;Баку;13.04.2020;3.80
Азербайджан;Баку;14.03.2020;2.50
Азербайджан;Баку;14.04.2020;3.90
Азербайджан;Баку;15.03.2020;3.00
Азербайджан;Баку;15.04.2020;3.80
Азербайджан;Баку;16.03.2020;2.20
Азербайджан;Баку;16.04.2020;3.80
Азербайджан;Баку;17.03.2020;2.40
Азербайджан;Баку;17.04.2020;3.70
Азербайджан;Баку;18.03.2020;2.40
Азербайджан;Баку;18.04.2020;3.90
Азербайджан;Баку;19.03.2020;2.50
Азербайджан;Баку;19.04.2020;4.10
Азербайджан;Баку;20.03.2020;3.20
Азербайджан;Баку;20.04.2020;3.60
Азербайджан;Баку;21.03.2020;3.30
Азербайджан;Баку;21.04.2020;3.60
Азербайджан;Баку;22.03.2020;3.50
Азербайджан;Баку;22.04.2020;3.60
Азербайджан;Баку;23.02.2020;2.80
Азербайджан;Баку;23.03.2020;3.20
Азербайджан;Баку;23.04.2020;3.70
Азербайджан;Баку;24.02.2020;1.70
